type,top,bottom,created_at,ob_bar,level,structure,quality_displacement,quality_large_bar,quality_fvg,quality_liquidity_sweep,quality_volume_expansion,quality,mitigated_at
DEMAND,57885.0,56078.54,5794,5747,swing,CHoCH,False,True,False,True,True,3,5871
SUPPLY,65000.0,64122.49,5849,5807,swing,CHoCH,False,False,False,True,False,1,5997
DEMAND,53969.99,52550.0,5919,5879,swing,CHoCH,False,True,False,True,True,3,8767
SUPPLY,66498.0,65314.31,6028,6003,swing,CHoCH,False,True,False,True,True,3,6112
DEMAND,60329.27,59586.29,6103,6083,swing,CHoCH,False,False,False,False,True,1,8767
DEMAND,92364.0,90791.1,6414,6365,swing,BOS,False,True,False,True,True,3,6907
DEMAND,96500.0,94256.54,6479,6448,swing,BOS,False,True,False,False,True,2,6506
SUPPLY,108353.0,105725.99,6504,6489,swing,CHoCH,False,True,False,True,True,3,7419
SUPPLY,99963.7,98468.26,6567,6540,swing,BOS,False,False,False,True,False,1,6609
DEMAND,94277.23,91530.45,6606,6567,swing,CHoCH,False,True,False,True,True,3,6650
SUPPLY,102724.38,101512.91,6628,6612,swing,CHoCH,True,False,False,True,False,2,6675
DEMAND,93661.55,90833.12,6672,6650,swing,CHoCH,True,True,False,True,True,4,6907
SUPPLY,109193.23,107093.33,6733,6692,swing,CHoCH,True,True,False,False,True,3,7421
SUPPLY,102500.01,100918.0,6868,6779,swing,BOS,False,False,False,True,False,1,7343
SUPPLY,94883.51,93502.0,6987,6941,swing,BOS,False,False,False,False,False,0,7263
DEMAND,80250.0,77459.91,7043,6988,swing,CHoCH,False,True,False,True,True,3,7153
SUPPLY,88765.43,87138.6,7100,7071,swing,CHoCH,False,True,False,True,True,3,7245
DEMAND,76868.28,74620.0,7244,7164,swing,CHoCH,True,True,False,True,True,4,8767
SUPPLY,111980.0,110916.4,7468,7426,swing,CHoCH,False,False,False,True,False,1,7720
DEMAND,102171.44,100372.26,7532,7511,swing,CHoCH,False,True,False,True,True,3,7611
SUPPLY,110530.17,108456.08,7606,7535,swing,CHoCH,False,True,False,True,True,3,7714
DEMAND,100380.0,98673.66,7632,7612,swing,CHoCH,True,True,False,True,True,4,8479
SUPPLY,120820.71,119287.72,7806,7765,swing,CHoCH,False,True,False,False,False,1,7908
DEMAND,113740.69,111920.0,7907,7860,swing,CHoCH,False,True,False,True,False,2,7993
SUPPLY,124474.0,123250.5,7950,7926,swing,CHoCH,True,True,False,True,False,3,8239
DEMAND,109432.99,107255.0,8091,8035,swing,CHoCH,False,True,False,True,True,3,8311
SUPPLY,117900.0,117196.33,8161,8140,swing,CHoCH,False,False,False,True,False,1,8219
DEMAND,109690.98,108620.07,8216,8186,swing,CHoCH,False,True,False,True,False,2,8307
SUPPLY,126199.63,124800.0,8272,8248,swing,CHoCH,False,True,False,True,True,3,8767
DEMAND,106852.14,104533.21,8371,8313,swing,CHoCH,False,True,False,False,True,2,8419
SUPPLY,116400.0,114938.01,8415,8371,swing,CHoCH,False,True,False,True,True,3,8767
SUPPLY,107500.0,105500.0,8476,8460,swing,BOS,False,True,False,True,True,3,8767
DEMAND,84709.89,81648.0,8597,8522,swing,CHoCH,False,True,False,True,True,3,8767
SUPPLY,94588.99,92693.5,8668,8632,swing,CHoCH,False,True,False,True,True,3,8767
